"key","message","comment","context"
"Address",,,
"Address type",,,
"CGST",,,
"City",,,
"Company",,,
"Country",,,
"Default",,,
"GSTIN NO",,,
"Generate Invoice",,,
"GrossAmount","GrossAmount",,
"Gst Detail",,,
"Gst Rate",,,
"Gstin",,,
"Gstin No.",,,
"HSBN",,,
"IGST",,,
"Invoice","Invoice",,
"Invoice line",,,
"Net CGST",,,
"Net IGST",,,
"Net SGST",,,
"NetAmount","NetAmount",,
"Other",,,
"Partner",,,
"Partner.Name","Partner Name",,
"Price",,,
"Print Invoice",,,
"Product",,,
"Product Category Gst Rate",,,
"Product category",,,
"Product.Detail","Product Detail",,
"Product.Name","Product Name",,
"Products",,,
"SGST",,,
"Shipping",,,
"State",,,
"State Detail",,,
"State Name",,,
"States",,,
"Total A.T.I.",,,
"Total Amount Remaining",,,
"Total CGST",,,
"Total IGST",,,
"Total SGST",,,
"Total W.T.",,,
"Total.A.T.I",,,
"Total.Qty","Total Quantity",,
"Total.Tax","Total Tax",,
"Total.W.T",,,
